STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08,WT03
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170101,0.43,2.0,3.0,35,37,28,9.6,10,10,16.1,19.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170102,0.00,2.0,0.0,32,34,26,10.5,70,60,15.0,19.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170103,0.00,2.0,0.0,27,33,21,11.9,20,20,18.1,21.9,-9999,-9999,1,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170104,0.00,1.2,0.0,27,36,22,11.0,20,20,16.1,19.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170105,0.00,0.0,0.0,28,35,21,5.8,40,40,15.0,16.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170106,0.00,0.0,0.0,29,40,20,6.3,110,120,14.1,19.9,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170107,0.00,0.0,0.0,33,37,29,13.4,90,80,23.0,30.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170108,0.45,0.0,0.0,37,45,35,11.9,100,90,28.0,36.9,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170109,0.05,0.0,0.0,39,42,34,7.8,200,200,21.0,27.1,1,1,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170110,0.07,0.0,0.0,37,40,32,13.6,10,360,25.1,31.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170111,0.00,0.0,0.0,32,34,28,12.1,360,10,23.9,29.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170112,0.00,0.0,0.0,31,40,25,6.0,20,30,12.1,12.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170113,0.00,0.0,0.0,31,37,25,6.0,30,30,10.1,13.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170114,0.00,0.0,0.0,34,44,26,4.9,360,340,10.1,12.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170115,0.00,0.0,0.0,34,43,27,3.1,120,140,8.9,14.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170116,0.00,0.0,0.0,36,45,30,4.0,140,150,13.0,16.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170117,1.74,0.0,0.0,43,49,39,4.7,110,120,17.0,21.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170118,1.21,0.0,0.0,46,53,44,10.7,180,170,28.0,36.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170119,0.09,0.0,0.0,46,50,41,9.8,190,170,17.0,21.9,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170120,0.00,0.0,0.0,46,52,37,9.4,110,100,25.9,36.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170121,0.05,0.0,0.0,45,54,40,4.0,170,160,14.1,16.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170122,0.08,0.0,0.0,45,49,37,8.7,130,130,23.0,28.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170123,0.00,0.0,0.0,41,48,34,4.9,340,20,13.0,19.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170124,0.00,0.0,0.0,37,43,31,2.5,120,120,10.1,13.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170125,0.00,0.0,0.0,38,44,35,2.7,130,150,6.9,8.9,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170126,0.00,0.0,0.0,43,47,41,2.9,110,90,8.9,13.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170127,0.00,0.0,0.0,44,54,37,5.8,110,110,14.1,21.9,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170128,0.00,0.0,0.0,45,52,37,5.4,120,180,12.1,13.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170129,0.03,0.0,0.0,43,48,37,8.3,190,200,21.0,31.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170130,0.02,0.0,0.0,44,45,40,9.2,20,20,17.0,21.9,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170131,0.00,0.0,0.0,41,44,34,11.2,360,360,21.0,25.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170201,0.00,0.0,0.0,36,43,29,15.4,90,80,25.1,33.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170202,0.01,0.0,0.0,38,44,32,13.9,90,70,23.9,34.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170203,0.70,0.0,0.0,37,40,34,8.5,100,90,19.9,23.9,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170204,0.94,0.0,0.0,41,46,37,8.7,190,180,18.1,25.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170205,0.82,0.0,2.0,39,41,33,11.0,230,260,21.0,28.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170206,0.65,3.9,5.1,33,37,30,9.4,190,190,19.9,25.9,1,1,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170207,0.01,3.9,0.0,35,38,30,7.2,10,10,17.0,19.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170208,0.70,2.0,0.0,36,40,34,6.5,110,120,13.0,18.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170209,1.63,0.0,0.0,44,56,39,13.2,210,220,31.1,42.1,1,-9999,-9999,1
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170210,0.02,0.0,0.0,47,48,39,17.2,200,200,33.1,42.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170211,0.00,0.0,0.0,41,49,38,7.8,190,190,16.1,19.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170212,0.00,0.0,0.0,41,51,34,5.6,20,20,14.1,17.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170213,0.00,0.0,0.0,42,57,35,8.3,10,20,18.1,21.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170214,0.23,0.0,0.0,45,58,36,4.0,100,90,10.1,12.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170215,1.63,0.0,0.0,49,54,45,7.8,110,120,15.0,19.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170216,0.50,0.0,0.0,51,53,46,10.5,210,220,17.0,23.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170217,0.01,0.0,0.0,48,56,42,9.8,20,10,21.9,25.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170218,0.15,0.0,0.0,44,45,42,8.3,20,20,18.1,23.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170219,0.06,0.0,0.0,44,47,40,8.5,170,150,21.9,27.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170220,0.20,0.0,0.0,43,45,40,6.7,10,10,17.0,19.9,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170221,0.07,0.0,0.0,43,48,39,7.4,80,80,16.1,19.9,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170222,0.00,0.0,0.0,41,46,35,4.9,40,40,14.1,17.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170223,0.01,0.0,0.0,38,44,34,3.8,250,250,12.1,13.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170224,0.00,0.0,0.0,37,47,32,4.0,140,130,10.1,14.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170225,0.01,0.0,0.0,39,44,32,7.2,210,210,21.9,32.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170226,0.33,0.0,0.0,39,41,35,7.4,160,160,16.1,19.9,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170227,0.16,0.0,0.1,38,41,33,8.5,310,300,21.9,32.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170228,0.01,0.0,0.0,37,47,33,8.7,200,220,23.0,32.0,1,1,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170301,0.02,0.0,0.0,44,49,41,13.9,190,200,25.1,32.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170302,0.09,0.0,0.0,44,47,41,10.5,200,190,21.9,27.1,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170303,0.36,0.0,0.0,47,51,39,14.1,220,220,23.0,32.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170304,0.04,0.0,0.0,41,46,34,7.6,200,200,21.0,25.9,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170305,0.00,0.0,0.0,40,45,34,13.4,180,190,31.1,40.9,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170306,0.00,0.0,0.0,38,43,35,13.4,210,200,21.9,30.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170307,0.75,0.0,0.0,37,42,35,8.7,200,200,21.0,25.9,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170308,0.13,0.0,0.0,41,43,37,10.7,200,210,23.0,29.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170309,0.70,0.0,0.0,39,49,39,6.0,180,190,19.9,25.1,1,1,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170310,0.03,0.0,0.0,48,52,44,12.5,210,200,30.0,38.9,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170311,0.37,0.0,0.0,45,53,40,10.7,220,210,25.9,35.1,1,1,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170312,0.02,0.0,0.0,48,53,45,7.2,220,210,17.0,21.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170313,0.65,0.0,0.0,50,53,47,5.6,160,130,13.0,16.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170314,0.39,0.0,0.0,52,57,48,10.5,200,190,23.9,33.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170315,0.81,0.0,0.0,50,50,44,7.2,210,200,21.9,32.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170316,0.00,0.0,0.0,45,52,39,10.3,200,190,23.9,32.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170317,0.68,0.0,-9999,43,53,37,4.9,150,150,16.1,21.0,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170318,0.34,0.0,-9999,48,57,35,13.6,210,220,23.0,31.1,1,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170319,0.00,0.0,0.0,42,53,34,9.6,10,10,18.1,23.0,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170320,-9999,-9999,-9999,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20170321,-9999,-9999,-9999,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
